Ticker,Strike,Bid,Ask,isPut,isFuture,Bid_size,Ask_size
SPX Index,0,2057.34,2058.68,0,0,,
SPM6 Index,0,2050.7,2051.7,0,1,1,1
SPX US 06/17/2016 C2020 Index,2020,72.3,74.2,0,0,300,298
SPX US 06/17/2016 P2020 Index,2020,41.2,42.8,1,0,1,1
SPX US 06/17/2016 C2025 Index,2025,69,70.7,0,0,300,298
SPX US 06/17/2016 P2025 Index,2025,42.8,44.2,1,0,551,554
SPX US 06/17/2016 C2030 Index,2030,65.7,66.9,0,0,50,0
SPX US 06/17/2016 P2030 Index,2030,44.3,45.8,1,0,300,298
SPX US 06/17/2016 C2035 Index,2035,62.3,63.9,0,0,300,50
SPX US 06/17/2016 P2035 Index,2035,46,47.6,1,0,300,298
SPX US 06/17/2016 C2040 Index,2040,58.9,60.6,0,0,250,50
SPX US 06/17/2016 P2040 Index,2040,47.7,49.3,1,0,300,298
SPX US 06/17/2016 C2045 Index,2045,55.8,57.4,0,0,300,299
SPX US 06/17/2016 P2045 Index,2045,49.4,51.1,1,0,300,299
SPX US 06/17/2016 C2050 Index,2050,52.5,54.2,0,0,300,299
SPX US 06/17/2016 P2050 Index,2050,51.2,52.9,1,0,300,299
SPX US 06/17/2016 C2055 Index,2055,49.4,51,0,0,300,299
SPX US 06/17/2016 P2055 Index,2055,53.1,54.7,1,0,300,299
SPX US 06/17/2016 C2060 Index,2060,46.5,48,0,0,299,300
SPX US 06/17/2016 P2060 Index,2060,55,56.8,1,0,299,300
SPX US 06/17/2016 C2065 Index,2065,43.5,45,0,0,577,50
SPX US 06/17/2016 P2065 Index,2065,57,58.9,1,0,299,301
SPX US 06/17/2016 C2070 Index,2070,40.8,42.1,0,0,50,50
SPX US 06/17/2016 P2070 Index,2070,59.1,61,1,0,299,301
SPX US 06/17/2016 C2075 Index,2075,37.9,39.3,0,0,587,50
SPX US 06/17/2016 P2075 Index,2075,61.3,63.1,1,0,299,300
SPX US 06/17/2016 C2080 Index,2080,35.2,36.6,0,0,589,578
SPX US 06/17/2016 P2080 Index,2080,63.6,65.4,1,0,9,10
SPX US 06/17/2016 C2085 Index,2085,32.6,34,0,0,586,50
SPX US 06/17/2016 P2085 Index,2085,65.9,67.8,1,0,9,10
SPX US 06/17/2016 C2090 Index,2090,30.1,31.4,0,0,579,50
SPX US 06/17/2016 P2090 Index,2090,68.4,70.3,1,0,9,11
SPX US 06/17/2016 C2095 Index,2095,27.7,29,0,0,570,583
SPX US 06/17/2016 P2095 Index,2095,70.9,72.9,1,0,9,11
